annee,sexe,age3e,retard,secteur,acad,poids,score,plaisir,performance,estime_soi,anx_sociale,anx_echouer,anx_decevoir,anx_separer
2003,2,14.731506849,2,pu,20,0.299859852,193.49449229,1.1502699697,-0.754057741,-0.012493588,-0.781161981,1.9959627854,2.1043464178,0.6834293154
2003,M,15.315068493,1,pu,20,0.3212131315,242.28822108,,,,,,,
2003,2,14.312328767,2,pu,20,0.299859852,294.06956257,0.3578203767,1.3221461608,-2.097554,1.4072136939,0.9215816443,2.1043464178,2.4192426238
2003,2,15.312328767,1,pu,20,0.3212131315,179.95566036,0.9139708504,-0.239225991,0.0636252126,0.3462920084,0.3824538994,-0.27585758,-0.174396804
2003,2,15.81369863,1,pu,20,0.3212131315,265.20804659,-1.640801543,0.0450672164,-0.690845747,2.2964672111,0.8887439077,-1.358602712,-1.387450013
2003,1,15.312328767,1,pu,20,0.323833817,290.89194848,-1.139925908,0.4943059377,-0.408396732,-0.113511427,-0.365080145,-1.358602712,-0.435776854
2003,1,15.142465753,2,pu,20,0.3023063223,223.14143402,-0.160279983,0.0450672164,-0.316526064,2.2971941515,1.7570849579,-0.499088311,0.1798752013
2003,2,14.895890411,2,pu,20,0.299859852,259.73979045,0.9409682917,0.0450672164,-0.663578077,0.3173925357,0.6735257955,0.5870974419,0.5158963054
2003,2,14.64109589,2,pu,20,0.299859852,199.85846286,0.6887244041,-2.315429893,-1.858124521,0.752592044,1.2198943874,0.5898797026,1.3929284102
2003,1,15.643835616,1,pu,20,0.323833817,263.13556093,-0.869177341,0.5250618277,2.1586058971,-0.769586958,-1.164808259,-1.358602712,-0.790048859
2003,1,15.663013699,1,pu,20,0.2570894425,253.46396116,0.395870491,1.0378529534,1.6482432062,0.7750151496,-0.61119882,-0.492865429,1.0950465581
2003,1,15.578082192,1,pu,20,0.2570894425,170.62115839,1.4688413686,0.0450672164,-1.146673098,1.8561690467,1.9959627854,2.1043464178,-0.174396804
2003,1,15.912328767,1,pu,20,0.2570894425,177.45255569,-0.132002586,-1.489427603,-0.903007556,0.1123870817,-1.509257328,0.5880962329,0.7590254539
2003,2,15.408219178,1,pu,20,0.2550088983,209.36709542,0.6493943342,-2.031136685,-0.712429208,0.1066376552,0.1138586141,0.8086710218,0.3483632954
2003,1,14.490410959,2,pu,20,0.2399989123,282.71623978,0.384817818,0.8113956595,0.8449211158,-0.990462981,-0.872553258,-0.28154842,-1.387450013
