Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
42;Métro;MADELEINE;6889442;8;12;14;;;Paris;8
23;Métro;BARBES-ROCHECHOUART;9178399;2;4;;;;Paris;18
29;Métro;HAVRE-CAUMARTIN;7661183;3;9;;;;Paris;9
20;Métro;PLACE CLICHY;9346342;2;13;;;;Paris;17
24;Métro;PORTE MAILLOT;9089205;1;;;;;Paris;16
48;Métro;SAINT-PAUL;6591103;1;;;;;Paris;4
41;Métro;AUBERVILLIERS-PANTIN-QUATRE CHEMINS;6927817;7;;;;;Aubervilliers;
31;Métro;BOBIGNY-PABLO PICASSO;7461452;5;;;;;Bobigny;
40;Métro;OLYMPIADES;7000540;14;;;;;Paris;
116;Métro;DENFERT-ROCHEREAU;4268859;4;6;;;;Paris;14
119;Métro;RICHELIEU-DROUOT;4114054;8;9;;;;Paris;9
100;Métro;GUY MOQUET;4602495;13;;;;;Paris;17
112;Métro;LA MUETTE;4328056;9;;;;;Paris;16
128;Métro;TERNES;3833182;2;;;;;Paris;17
111;Métro;LE KREMLIN-BICETRE;4360175;7;;;;;Kremlin-Bicêtre;
136;Métro;FORT D'AUBERVILLIERS;3694272;7;;;;;Aubervilliers;
130;Métro;MAIRIE DE SAINT-OUEN;3819193;13;;;;;Saint Ouen;
131;Métro;ANATOLE FRANCE;3801122;3;;;;;Levallois-Perret;
110;Métro;ROBESPIERRE;4394418;9;;;;;Montreuil;
88;Métro;CHAMPS-ELYSEES-CLEMENCEAU;4910801;1;13;;;;Paris;8
66;Métro;COUR SAINT-EMILION;5805955;14;;;;;Paris;12
89;Métro;PORTE DE MONTREUIL;4906785;9;;;;;Paris;20
79;Métro;VOLTAIRE;5217446;9;;;;;Paris;11
94;Métro;PEREIRE;4711045;3;;;;;Paris;17
78;Métro;SAINT-DENIS-UNIVERSITE;5261145;13;;;;;Saint Denis;
